Segment,Weight,Outside,Contract 1,Contract 2,Row sum
1,0.125,0.05849247965111937,0.5167107462009009,0.42479677414797967,0.9999999999999999
2,0.057,0.017817280716011883,0.3972578445873864,0.5849248746966018,1.0
3,0.068,0.08039247454410535,0.29909337315527984,0.6205141523006148,1.0
4,0.044,0.0034970162682577705,0.6357953356058892,0.3607076481258531,1.0
5,0.161,0.11881095638176148,0.3451620800241757,0.5360269635940629,1.0
6,0.116,0.03436736351253354,0.3886533090209369,0.5769793274665296,1.0
7,0.045,0.044576729067235324,0.16947376669904027,0.7859495042337244,1.0
8,0.171,0.04648662247940103,0.4625106277439103,0.49100274977668873,1.0
9,0.112,0.12826233579330953,0.4150927674328315,0.4566448967738589,0.9999999999999999
10,0.101,0.017866393835867772,0.5828799090940467,0.39925369707008546,1.0
