Metric,Value
Total expected revenue,1143.8599713220974
Expected revenue: Contract 1 (flat),547.159554685639
Expected revenue: Contract 2 (ToU),596.7004166364583
Expected market share: Outside,0.06318793272519907
Expected market share: Contract 1,0.4282776609047741
Expected market share: Contract 2,0.5085344063700269
